Drop Off Location,Stake,Route Number/Name,Donation Bags Collected,Completed More Than One Route,Ward_x,Neighbourhood,Latitude,Longitude,Point Location
Edmonton North Stake Centre,Edmonton North Stake,O rRNA A  and ozerna B,500,Yes,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Londonberry Chapel,Bonnie Doon Stake,31,7,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Bonnie Doon Stake Centre,Bonnie Doon Stake,106,13,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Gateway Stake Centre,Gateway Stake,42,38,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Gateway Stake Centre,Gateway Stake,56 Daly Grove,17,No,Rio Vista Ward,RIO VISTA,53.48446,-113.492,
Gateway Stake Centre,Gateway Stake,7,20,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Bearspaw Chapel,Bonnie Doon Stake,M1,20,No,Southgate Ward,SOUTHGATE,53.4843,-113.51725,
Bearspaw Chapel,Gateway Stake,12,20,Yes,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Londonberry Chapel,Bonnie Doon Stake,5,17,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Gateway Stake Centre,Gateway Stake,39,50,No,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Bonnie Doon 3 ,11,Yes,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Edmonton North Stake Centre,Edmonton North Stake,Wellington C,1,No,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Riverbend Stake Centre,Riverbend Stake,Royal gardens. 3,17,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Gateway Stake Centre,Gateway Stake,24,9,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Gateway Stake Centre,Gateway Stake,16,30,Yes,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Bearspaw Chapel,Gateway Stake,7,40,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Londonberry Chapel,Bonnie Doon Stake,6,30,Yes,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Gateway Stake Centre,Gateway Stake,42,31,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Gateway Stake Centre,Gateway Stake,33,6,No,Rio Vista Ward,RIO VISTA,53.48446,-113.492,
Bearspaw Chapel,Gateway Stake,4,20,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Riverbend Stake Centre,Riverbend Stake,50,34,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Bonnie Doon Stake Centre,Bonnie Doon Stake,King Edward Park 3,21,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Bearspaw Chapel,Gateway Stake,162,32,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bonnie Doon Stake Centre,Bonnie Doon Stake,4,20,Yes,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Capilano #1,30,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Londonberry Chapel,Bonnie Doon Stake,101,24,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Gateway Stake Centre,Gateway Stake,47,50,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bearspaw Chapel,Gateway Stake,43,20,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Riverbend Stake Centre,Riverbend Stake,24,26,Yes,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Gateway Stake Centre,Gateway Stake,10,24,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Riverbend Stake Centre,Riverbend Stake,Brookside 3,15,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Bearspaw Chapel,YSA Stake,0,8,No,Whitemud Creek YSA Ward,WHITEMUD CREEK YSA,53.48264,-113.50805,
Bearspaw Chapel,Bonnie Doon Stake,8,15,No,Southgate Ward,SOUTHGATE,53.4843,-113.51725,
Bearspaw Chapel,Gateway Stake,12,43,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Fulton place #3 (poll 73),35,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Gateway Stake Centre,Gateway Stake,63,30,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bearspaw Chapel,Gateway Stake,27,32,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Londonberry Chapel,Bonnie Doon Stake,212,30,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Bearspaw Chapel,Bonnie Doon Stake,D4,15,No,Southgate Ward,SOUTHGATE,53.4843,-113.51725,
Riverbend Stake Centre,Riverbend Stake,1&2,47,Yes,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Fulton Place #2 poll 64,22,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Edmonton North Stake Centre,Edmonton North Stake,Griesbach a and b,48,Yes,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Gateway Stake Centre,Gateway Stake,7,30,No,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bearspaw Chapel,Gateway Stake,54,26,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bearspaw Chapel,Gateway Stake,4,18,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Londonberry Chapel,Bonnie Doon Stake,154,16,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Bonnie Doon Stake Centre,Bonnie Doon Stake,#8,22,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Londonberry Chapel,Bonnie Doon Stake,129,9,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Riverbend Stake Centre,Riverbend Stake,7 Herb madlung,25,No,Woodbend Ward,WOODBEND,53.54747,-113.54367,
Bearspaw Chapel,Gateway Stake,0,20,Yes,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Londonberry Chapel,Bonnie Doon Stake,212,30,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Riverbend Stake Centre,Riverbend Stake,55,17,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Ritchie 1 ,16,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Gateway Stake Centre,Gateway Stake,20,20,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Riverbend Stake Centre,Riverbend Stake,39,16,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Bearspaw Chapel,Gateway Stake,10,27,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Riverbend Stake Centre,Riverbend Stake,Butchike,9,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Bonnie Doon Stake Centre,Bonnie Doon Stake,Ottewell 7,23,No,Southgate Ward,SOUTHGATE,53.4843,-113.51725,
Londonberry Chapel,Bonnie Doon Stake,10,7,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Gateway Stake Centre,Gateway Stake,37,30,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Gateway Stake Centre,Gateway Stake,18,25,No,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Riverbend Stake Centre,Riverbend Stake,47,16,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Edmonton North Stake Centre,Edmonton North Stake,Evansdale f ,19,Yes,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Gateway Stake Centre,Gateway Stake,18,40,No,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Bearspaw Chapel,Gateway Stake,9,22,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Riverbend Stake Centre,Riverbend Stake,Sweetgrass 2,16,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Bearspaw Chapel,Bonnie Doon Stake,Ld2,56,Yes,Southgate Ward,SOUTHGATE,53.4843,-113.51725,
Gateway Stake Centre,Gateway Stake,6,31,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Gateway Stake Centre,Gateway Stake,2,32,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Bearspaw Chapel,Gateway Stake,7,30,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Riverbend Stake Centre,Riverbend Stake,32/Todd Coleman,21,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Riverbend Stake Centre,Riverbend Stake,16,50,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Edmonton North Stake Centre,Edmonton North Stake,4-3.2,31,No,Namao Ward,NAMAO,53.54445,-113.49091,
Riverbend Stake Centre,Riverbend Stake,60,100,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Londonberry Chapel,Bonnie Doon Stake,199,19,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Bearspaw Chapel,Gateway Stake,46,21,No,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Gateway Stake Centre,Gateway Stake,32,30,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Riverbend Stake Centre,Riverbend Stake,Stewarts,58,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Londonberry Chapel,Bonnie Doon Stake,169,9,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Bearspaw Chapel,Gateway Stake,68,36,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Gateway Stake Centre,Gateway Stake,65,28,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bearspaw Chapel,Bonnie Doon Stake,LD1,35,No,Southgate Ward,SOUTHGATE,53.4843,-113.51725,
Londonberry Chapel,Bonnie Doon Stake,160,19,Yes,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Gateway Stake Centre,Gateway Stake,31/lee ridge,30,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Riverbend Stake Centre,Riverbend Stake,197,45,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Edmonton North Stake Centre,Edmonton North Stake,Caernarvon C,16,No,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Riverbend Stake Centre,Riverbend Stake,lymburn 5 ,53,Yes,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Riverbend Stake Centre,Riverbend Stake,4,19,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Londonberry Chapel,Bonnie Doon Stake,184,27,Yes,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Gateway Stake Centre,Gateway Stake,90 street sw,50,Yes,Blackmud Creek Ward,BLACKMUD CREEK,53.42374423,-113.5051636,POINT (-113.50516357460535 53.4237442289999)
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,10,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Bearspaw Chapel,Gateway Stake,0,45,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Riverbend Stake Centre,Riverbend Stake,46,45,Yes,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Gateway Stake Centre,Gateway Stake,29,30,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Londonberry Chapel,Bonnie Doon Stake,8,39,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Londonberry Chapel,Bonnie Doon Stake,23,40,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Gateway Stake Centre,Gateway Stake,39,20,Yes,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Riverbend Stake Centre,Riverbend Stake,"18,19",59,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Gateway Stake Centre,Gateway Stake,70,12,No,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bonnie Doon Stake Centre,Bonnie Doon Stake,goldbar 1,25,Yes,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Londonberry Chapel,Bonnie Doon Stake,19,40,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Gateway Stake Centre,Gateway Stake,30,25,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Riverbend Stake Centre,Riverbend Stake,Brookside 1,12,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Gateway Stake Centre,Gateway Stake,10,41,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Edmonton North Stake Centre,Edmonton North Stake,Caernarvon B,32,No,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Riverbend Stake Centre,Riverbend Stake,Ag2,80,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Gateway Stake Centre,Gateway Stake,56 Daly Grove,4,No,Rio Vista Ward,RIO VISTA,53.48446,-113.492,
Londonberry Chapel,Bonnie Doon Stake,128,30,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Ottewell 8,46,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,25,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Londonberry Chapel,Bonnie Doon Stake,39,26,No,Londonderry Ward,LONDONDERRY,53.60925,-113.446,
Riverbend Stake Centre,Riverbend Stake,12,73,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Edmonton North Stake Centre,Edmonton North Stake,3-1.1a,14,No,Namao Ward,NAMAO,53.54445,-113.49091,
Riverbend Stake Centre,Riverbend Stake,10,54,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Gateway Stake Centre,Gateway Stake,44,24,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Gateway Stake Centre,Gateway Stake,44,58,Yes,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Gateway Stake Centre,Gateway Stake,15,36,No,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Riverbend Stake Centre,Riverbend Stake,18,25,No,Woodbend Ward,WOODBEND,53.54747,-113.54367,
Riverbend Stake Centre,Riverbend Stake,15,14,No,Woodbend Ward,WOODBEND,53.54747,-113.54367,
Riverbend Stake Centre,Riverbend Stake,45,56,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Gateway Stake Centre,Gateway Stake,"5,8",30,Yes,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Gateway Stake Centre,Gateway Stake,46,35,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Londonberry Chapel,Bonnie Doon Stake,205,70,Yes,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Londonberry Chapel,Bonnie Doon Stake,138,73,Yes,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Gateway Stake Centre,Gateway Stake,32,10,Yes,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Riverbend Stake Centre,Riverbend Stake,42,42,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Edmonton North Stake Centre,Edmonton North Stake,3-2.2B,23,No,Namao Ward,NAMAO,53.54445,-113.49091,
Riverbend Stake Centre,Riverbend Stake,49,29,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Gateway Stake Centre,Gateway Stake,36,20,No,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bearspaw Chapel,Riverbend Stake,Ld7,58,No,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Riverbend Stake Centre,Riverbend Stake,Terwiliger park,25,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Edmonton North Stake Centre,Edmonton North Stake,0,22,No,Namao Ward,NAMAO,53.54445,-113.49091,
Riverbend Stake Centre,Riverbend Stake,38,26,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Gateway Stake Centre,Gateway Stake,1,25,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bearspaw Chapel,Bonnie Doon Stake,3,46,Yes,Southgate Ward,SOUTHGATE,53.4843,-113.51725,
Edmonton North Stake Centre,Edmonton North Stake,Carlisle C,16,No,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Riverbend Stake Centre,Riverbend Stake,54,20,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Riverbend Stake Centre,Riverbend Stake,43 - ramsay heights,30,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Gateway Stake Centre,Gateway Stake,13,75,Yes,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Londonberry Chapel,Bonnie Doon Stake,205,80,Yes,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Gateway Stake Centre,Gateway Stake,28,42,Yes,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Bearspaw Chapel,Gateway Stake,16,55,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Gateway Stake Centre,Gateway Stake,Satoo/route #s 3 & 5,150,Yes,Rio Vista Ward,RIO VISTA,53.48446,-113.492,
Gateway Stake Centre,Gateway Stake,55,15,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Riverbend Stake Centre,Riverbend Stake,9,75,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Riverbend Stake Centre,Riverbend Stake,40,12,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Gateway Stake Centre,Gateway Stake,16,32,Yes,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Gateway Stake Centre,Gateway Stake,6,50,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Londonberry Chapel,Bonnie Doon Stake,135,17,Yes,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Edmonton North Stake Centre,Edmonton North Stake,"Carlisle A, Carlisle B",24,Yes,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
